"studyName","Topic","Description"
"Delagrange2004","Biomass","Tree compartments (roots (fine: < 2 mm, coarse: > 2 mm), stem, branches and leaves) were dried separately at 65degC for 48 h and weighed."
"Delagrange2004","Traits","LMA was measured on cored disks taken from a well exposed leaf used for gas exchange measurments. Leaf nitrogen concentration was measured using an elemental NCS 2500 analyzer (ThermoQuest, Milan Italy). Crown height was measured as the stem lenght supporting alive branches or leaves. Wood density was calculated as the force to displace a volume of water equivalent to stem section volume."
"Delagrange2004","Growth environment","Individuals are naturally regenerated individuals in gaps or in the understory. Shading nets were placed to suppress half of them during 4 years."
"Domec2012","Sampling strategy","Five age classes of Douglas-fir and 4 age classes of ponderosa pine were studied. Locations with different impacts (natal regeneration, planted thinned, planted) across the state of Oregon were sampled. Trees were felled and had the center of the internodes marked. Internodes were just distal to branch whorls at increasing number of nodes."
"Domec2012","Leaf area","Out of >250-600 trees (depending on the age class),  12 trees by age class were randomly selected for destructive sampling of leaf area.  Foliage attached to and distal to each segment was collected to determine leaf dry mass, and subsampled to determine leaf area/dry mass conversions (specific leaf area). Total leaf area was then calculated from the total dry mass and the specific leaf area. For the old-growth trees we kept 25% of the mass in all zones and for the saplings, intermediate and younger trees we saved 100% of the mass in all zones, but processed the samples identically to the old trees"
"Domec2012","Stem cross sectional area",NA
"Domec2012","Height","After the trees were felled,  total tree heights and base of the live crown heights were measured as the vertical distance from the ground."
"Domec2012","Traits","Specific leaf area: For Douglas-fir needles, the projected area of fresh foliage samples was determined using a video camera and NIH Image version 1.52 (public domain software). The projected area of each ponderosa pine needle was measured using a digital caliper, and assuming that all three needles of each fascicle represent a cylinder. The samples were then dried and weighed to establish the specific leaf area (SLA = the inverse of leaf mass per area) corresponding to fresh area to dry mass ratios."
"Domec2012","Year collected","1998-2000"
"Domec2012","Acknowledgements","This work was funded by the Department of Energy TES Program and by Department of Agriculture AFRI-NIFA program"
"Epron2011","Sampling strategy","Before each sampling campaign tree height and tree circumference were measured on three inner plots which contained 25 tree positions for each fertilization regime (excluding 2 buffer rows). Eight trees covering the range of basal area were destructively sampled at each age for each fertilization regime. The mass of each tree component was measured on-site and sub-samples were dried until constant weight at 65 C to estimate the dry mass of each tree component. Allometric relationships were then established and applied to stand inventory."
"Epron2011","Leaf area"," The green crown length of the sampled trees was divided into three equal-length sections (lower, middle and upper). All leaves of each section were removed and weighed. Thirty leaves were randomly selected in each section, and their fresh mass and area were immediately measured. These leaves were then dried at 65 C and the dry weight of each sub-sample was used in conjunction with its measured area to calculate the specific leaf area (SLA) for each crown section. The dry weight of leaves in each section was multiplied by the SLA value to estimate the leaf area in each tree section. Total tree leaf area was estimated summing the leaf area of the 3 sections."
"Epron2011","Stem cross sectional area","Stem circumference over bark was measured at breast height (1.30 m). After felling,  a disc of stem was cut at a height of 1.30 m and the bark was removed. The circumference under bark was measured on the disc and the stem cross sectional areas over bark and under bark were calculated from the measurements of stem circumference. Colored water was passed under pressure through a piece of trunk at 1.30 m above the ground to determine the sapwood area for a subsample of the trees to establish an allometric relationship that was applied to the other trees."
"Epron2011","Height"," Tree height was measured after felling with a measuring tape."
"Epron2011","Crown area","Crown diameter in the planting row and in the inter-row were measured before felling using a plumb to estimate the position of the leaves the farthest from the trunk. Crown area was estimated considering that the crown was circular."
"Epron2011","Biomass","Biomass was measured destructively for each tree component. All the leaves and branches were weighed in situ and a sub-sample was dried at 65 C to estimate the dry matter of each tree component."
"Epron2011","Traits","Specific leaf area (SLA) was measured in each third of the crown (lower, middle and upper) of the sampled trees. All leaves of each section were removed and weighed. Thirty leaves were randomly selected in each section, and their fresh mass and area were immediately measured. These leaves were then dried at 65 C and the dry weight of each sub-sample was used in conjunction with its measured area to calculate the specific leaf area (SLA) for each crown section."
"Epron2011","Year collected","2005-2010"
"Fatemi2011","Sampling strategy","We sampled six of the major northern hardwood species in the White Mountain National Forest region to determine allometric relationships for small trees. Trees ranged in size from .020-.12 m in diameter at breast height. We sampled 11-12 individuals of each species in the summer of 2004 and 2005. Trees were destructively sampled in the field, and were felled by handsaw or chainsaw. We cut as close to the ground as possible, leaving a stump < 16 cm in height. Trees were typically in co-dominant or dominant positions in the canopy because stands were young (< 30 years since cutting)."
"Fatemi2011","Growth environment","Wild, forest stands, under minimal management by the United States Forest Service when study was conducted in 2004 and 2005."
"Fatemi2011","Other variables","Mean annual rainfall provided; Mean annual temperature provided."
"Fatemi2011","Stand age ","Stands ranged from 14-30 years since last cutting (clear-cut) at the time they were sampled."
"Fatemi2011","Vegetation","Temperate forest: northern hardwood"
"Fatemi2011","Grouping","Refers to stands located within the Bartlett Experimental Forest, under jurisdiction of the United States Forest Service.  Stands are part of a larger study entitled 'Multiple Element Limitation in Northern Hardwood Ecosystems' (MELNHE). For more information visit http://www.esf.edu/melnhe/"
"Fatemi2011","Diameter","The diameter of each tree was measured at 1.37 m (diameter at breast height, d.bh), and at the lowest portion of the stem above the ground that could be measured accurately (d.ba)."
